file_path,line_number,matched_phrase,classification,action_needed,line_text
docs\47_final_scope_claim_audit.md,44,certified,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 36 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,45,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 36 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,46,certification,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 37 | certification | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,47,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 37 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,48,safety case,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 37 | safety case | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,49,SOTIF compliance,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 38 | SOTIF compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,50,certification,Safe / negated scope statement,No action needed.,"| `docs\10_engineering_decision_log.md` | 58 | certification | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,51,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\11_simple_risk_register.md` | 59 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,52,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\11_simple_risk_register.md` | 60 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,53,SOTIF compliance,Safe / negated scope statement,No action needed.,"| `docs\11_simple_risk_register.md` | 61 | SOTIF compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,54,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\12_verification_coverage.md` | 127 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,55,certification,Safe / negated scope statement,No action needed.,"| `docs\16_simulink_testing_validation.md` | 56 | certification | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,56,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\17_stpa_lite_safety_analysis.md` | 34 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,57,safety case,Safe / negated scope statement,No action needed.,"| `docs\17_stpa_lite_safety_analysis.md` | 39 | safety case | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,58,certification,Safe / negated scope statement,No action needed.,"| `docs\17_stpa_lite_safety_analysis.md` | 161 | certification | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,59,certified,Safe / negated scope statement,No action needed.,"| `docs\18_robustness_and_sensitivity_analysis.md` | 121 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,60,certified,Safe / negated scope statement,No action needed.,"| `docs\18_robustness_and_sensitivity_analysis.md` | 121 | certified brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,60,certified brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\18_robustness_and_sensitivity_analysis.md` | 121 | certified brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,61,certified,Safe / negated scope statement,No action needed.,"| `docs\19_verification_coverage_metrics.md` | 60 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,62,certified,Safe / negated scope statement,No action needed.,"| `docs\19_verification_coverage_metrics.md` | 112 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,63,certified,Safe / negated scope statement,No action needed.,"| `docs\21_requirements_not_fully_tested_justification.md` | 43 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,64,complete AEB,Safe / negated scope statement,No action needed.,"| `docs\21_requirements_not_fully_tested_justification.md` | 43 | complete AEB | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,65,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\21_requirements_not_fully_tested_justification.md` | 43 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,66,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\23_final_presentation_narrative.md` | 9 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,67,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\23_final_presentation_narrative.md` | 73 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,68,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\25_final_presentation_slide_plan.md` | 27 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,69,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\25_final_presentation_slide_plan.md` | 30 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,70,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\25_final_presentation_slide_plan.md` | 138 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,71,certification,Safe / negated scope statement,No action needed.,"| `docs\26_final_presentation_speaker_script.md` | 21 | certification | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,72,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\26_final_presentation_speaker_script.md` | 21 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,73,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\26_final_presentation_speaker_script.md` | 101 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,74,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\29_final_presentation_q_and_a.md` | 11 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,75,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\29_final_presentation_q_and_a.md` | 71 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,76,certified,Safe / negated scope statement,No action needed.,"| `docs\29_final_presentation_q_and_a.md` | 96 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,77,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\32_final_how_to_run_and_evaluate.md` | 144 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,78,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\32_final_how_to_run_and_evaluate.md` | 148 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,79,certified,Safe / negated scope statement,No action needed.,"| `docs\33_final_project_score_and_remaining_gaps.md` | 63 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,80,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\33_final_project_score_and_remaining_gaps.md` | 63 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,81,safety case,Safe / negated scope statement,No action needed.,"| `docs\33_final_project_score_and_remaining_gaps.md` | 63 | safety case | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,82,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\33_final_project_score_and_remaining_gaps.md` | 75 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,83,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\36_final_project_completion_report.md` | 65 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,84,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\36_final_project_completion_report.md` | 69 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\index.md,74,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire design, ISO 26262 compliance, ISO 21448/SOTIF compliance, real sensor fusion, HIL/SIL testing, or industrial MBSE completeness."
docs\index.md,74,SOTIF compliance,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire design, ISO 26262 compliance, ISO 21448/SOTIF compliance, real sensor fusion, HIL/SIL testing, or industrial MBSE completeness."
docs\index.md,74,production brake-by-wire,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire design, ISO 26262 compliance, ISO 21448/SOTIF compliance, real sensor fusion, HIL/SIL testing, or industrial MBSE completeness."
